day_only,header,hours,minutes,titleUrl,time_min,time_max,prod_count
5/24/2021,DOP 2: Delete One Part,,,https://play.google.com/store/apps/details?id=com.playstrom.dop2,2021-05-24 11:25:55.784000+00:00,2021-05-24 11:25:55.784000+00:00,1
5/24/2021,Disney+,,,https://play.google.com/store/apps/details?id=com.disney.disneyplus,2021-05-24 16:08:51.154000+00:00,2021-05-24 21:33:59.661000+00:00,3
5/24/2021,Gacha Life,,,https://play.google.com/store/apps/details?id=air.com.lunime.gachalife,2021-05-24 10:51:41.776000+00:00,2021-05-24 20:50:26.016000+00:00,5
5/24/2021,Roblox,,,https://play.google.com/store/apps/details?id=com.roblox.client,2021-05-24 12:08:47.974000+00:00,2021-05-24 14:14:31.520000+00:00,2
5/24/2021,Samsung One UI Home,,,https://play.google.com/store/apps/details?id=com.sec.android.app.launcher,2021-05-24 10:51:04.642000+00:00,2021-05-24 21:39:26.541000+00:00,9
5/25/2021,DOP 2: Delete One Part,,,https://play.google.com/store/apps/details?id=com.playstrom.dop2,2021-05-25 18:34:12.365000+00:00,2021-05-25 21:51:35.778000+00:00,3
5/25/2021,Disney+,,,https://play.google.com/store/apps/details?id=com.disney.disneyplus,2021-05-25 13:36:17.921000+00:00,2021-05-25 19:09:22.117000+00:00,2
5/25/2021,Gacha Life,,,https://play.google.com/store/apps/details?id=air.com.lunime.gachalife,2021-05-25 11:42:03.150000+00:00,2021-05-25 21:28:48.720000+00:00,5
5/25/2021,Google Chrome: Fast & Secure,,,https://play.google.com/store/apps/details?id=com.android.chrome,2021-05-25 18:34:05.055000+00:00,2021-05-25 18:34:05.055000+00:00,1
5/25/2021,Roblox,,,https://play.google.com/store/apps/details?id=com.roblox.client,2021-05-25 11:48:07.746000+00:00,2021-05-25 13:35:49.931000+00:00,2
5/25/2021,Samsung One UI Home,,,https://play.google.com/store/apps/details?id=com.sec.android.app.launcher,2021-05-25 11:48:13.936000+00:00,2021-05-25 21:51:13.367000+00:00,7
5/26/2021,DOP 2: Delete One Part,,,https://play.google.com/store/apps/details?id=com.playstrom.dop2,2021-05-26 09:40:13.149000+00:00,2021-05-26 17:01:39.091000+00:00,2
5/26/2021,Disney+,,,https://play.google.com/store/apps/details?id=com.disney.disneyplus,2021-05-26 12:32:51.745000+00:00,2021-05-26 17:47:25.496000+00:00,4
5/26/2021,Gacha Life,,,https://play.google.com/store/apps/details?id=air.com.lunime.gachalife,2021-05-26 11:00:14.259000+00:00,2021-05-26 12:16:59.479000+00:00,2
5/26/2021,Google Chrome: Fast & Secure,,,https://play.google.com/store/apps/details?id=com.android.chrome,2021-05-26 14:35:23.653000+00:00,2021-05-26 14:35:23.653000+00:00,1
5/26/2021,Microsoft Teams,,,https://play.google.com/store/apps/details?id=com.microsoft.teams,2021-05-26 09:38:08.851000+00:00,2021-05-26 16:53:50.597000+00:00,6
5/26/2021,Samsung One UI Home,,,https://play.google.com/store/apps/details?id=com.sec.android.app.launcher,2021-05-26 09:39:57.301000+00:00,2021-05-26 17:37:47.355000+00:00,8
5/27/2021,Disney+,,,https://play.google.com/store/apps/details?id=com.disney.disneyplus,2021-05-27 10:05:36.982000+00:00,2021-05-27 19:46:05.588000+00:00,5
5/27/2021,Gacha Life,,,https://play.google.com/store/apps/details?id=air.com.lunime.gachalife,2021-05-27 09:34:39.683000+00:00,2021-05-27 12:03:59.481000+00:00,2
5/27/2021,Google,,,https://play.google.com/store/apps/details?id=com.google.android.googlequicksearchbox,2021-05-27 15:22:49.173000+00:00,2021-05-27 15:22:49.173000+00:00,1
5/27/2021,Google Chrome: Fast & Secure,,,https://play.google.com/store/apps/details?id=com.android.chrome,2021-05-27 09:32:44.324000+00:00,2021-05-27 15:24:12.924000+00:00,2
5/27/2021,Microsoft OneDrive,,,https://play.google.com/store/apps/details?id=com.microsoft.skydrive,2021-05-27 15:23:43.463000+00:00,2021-05-27 15:23:43.463000+00:00,1
5/27/2021,Microsoft Teams,,,https://play.google.com/store/apps/details?id=com.microsoft.teams,2021-05-27 09:33:44.348000+00:00,2021-05-27 15:22:25.860000+00:00,6
5/27/2021,Permissions Controller,,,https://play.google.com/store/apps/details?id=com.google.android.permissioncontroller,2021-05-27 15:01:42.335000+00:00,2021-05-27 15:01:42.335000+00:00,1
5/27/2021,Samsung Gallery,,,https://play.google.com/store/apps/details?id=com.sec.android.gallery3d,2021-05-27 15:24:46.476000+00:00,2021-05-27 15:24:46.476000+00:00,1
5/27/2021,Samsung One UI Home,,,https://play.google.com/store/apps/details?id=com.sec.android.app.launcher,2021-05-27 09:34:00.439000+00:00,2021-05-27 19:46:03.589000+00:00,8
5/28/2021,Disney+,,,https://play.google.com/store/apps/details?id=com.disney.disneyplus,2021-05-28 12:04:19.697000+00:00,2021-05-28 20:26:09.773000+00:00,6
5/28/2021,Fluvsies - A Fluff to Luv,,,https://play.google.com/store/apps/details?id=com.tutotoons.app.fluvsies.free,2021-05-28 19:59:06.041000+00:00,2021-05-28 19:59:06.041000+00:00,1
5/28/2021,Gacha Life,,,https://play.google.com/store/apps/details?id=air.com.lunime.gachalife,2021-05-28 10:13:34.651000+00:00,2021-05-28 20:39:42.646000+00:00,2
5/28/2021,Microsoft Teams,,,https://play.google.com/store/apps/details?id=com.microsoft.teams,2021-05-28 10:14:29.714000+00:00,2021-05-28 14:53:44.037000+00:00,5
5/28/2021,Samsung One UI Home,,,https://play.google.com/store/apps/details?id=com.sec.android.app.launcher,2021-05-28 09:23:29.857000+00:00,2021-05-28 20:39:34.858000+00:00,9
5/29/2021,Disney+,,,https://play.google.com/store/apps/details?id=com.disney.disneyplus,2021-05-29 09:14:05.797000+00:00,2021-05-29 14:34:51.713000+00:00,2
5/29/2021,Gacha Life,,,https://play.google.com/store/apps/details?id=air.com.lunime.gachalife,2021-05-29 15:05:22.004000+00:00,2021-05-29 15:05:22.004000+00:00,1
5/29/2021,Gmail,,,https://play.google.com/store/apps/details?id=com.google.android.gm,2021-05-29 17:10:31.090000+00:00,2021-05-29 18:48:03.001000+00:00,2
5/29/2021,Google,,,https://play.google.com/store/apps/details?id=com.google.android.googlequicksearchbox,2021-05-29 18:06:28.168000+00:00,2021-05-29 18:06:28.168000+00:00,1
5/29/2021,Google Chrome: Fast & Secure,,,https://play.google.com/store/apps/details?id=com.android.chrome,2021-05-29 13:46:05.606000+00:00,2021-05-29 19:20:22.295000+00:00,4
5/29/2021,Google Family Link for children & teens,,,https://play.google.com/store/apps/details?id=com.google.android.apps.kids.familylinkhelper,2021-05-29 17:17:16.906000+00:00,2021-05-29 17:17:16.906000+00:00,1
5/29/2021,Google Play Games,,,https://play.google.com/store/apps/details?id=com.google.android.play.games,2021-05-29 16:58:19.065000+00:00,2021-05-29 16:58:19.065000+00:00,1
5/29/2021,Minecraft,,,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe,2021-05-29 19:28:24.630000+00:00,2021-05-29 21:08:11.420000+00:00,3
5/29/2021,Paint By Number - Coloring Book & Color by Number,,,https://play.google.com/store/apps/details?id=paint.by.number.pixel.art.coloring.drawing.puzzle,2021-05-29 17:03:29.183000+00:00,2021-05-29 17:03:29.183000+00:00,1
5/29/2021,Permissions Controller,,,https://play.google.com/store/apps/details?id=com.google.android.permissioncontroller,2021-05-29 17:32:11.177000+00:00,2021-05-29 17:32:11.177000+00:00,1
5/29/2021,Samsung One UI Home,,,https://play.google.com/store/apps/details?id=com.sec.android.app.launcher,2021-05-29 09:13:56.536000+00:00,2021-05-29 21:08:07.668000+00:00,7
5/30/2021,Brawl Stars,,,https://play.google.com/store/apps/details?id=com.supercell.brawlstars,2021-05-30 15:05:54.004000+00:00,2021-05-30 20:23:35.585000+00:00,2
5/30/2021,Disney+,,,https://play.google.com/store/apps/details?id=com.disney.disneyplus,2021-05-30 12:53:45.148000+00:00,2021-05-30 20:10:24.102000+00:00,4
5/30/2021,Minecraft,,,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe,2021-05-30 11:11:53.726000+00:00,2021-05-30 18:28:47.939000+00:00,5
5/30/2021,Permissions Controller,,,https://play.google.com/store/apps/details?id=com.google.android.permissioncontroller,2021-05-30 12:25:08.672000+00:00,2021-05-30 12:25:08.672000+00:00,1
5/30/2021,Photo editor,,,https://play.google.com/store/apps/details?id=com.sec.android.mimage.photoretouching,2021-05-30 12:25:08.119000+00:00,2021-05-30 12:25:08.119000+00:00,1
5/30/2021,Samsung Gallery,,,https://play.google.com/store/apps/details?id=com.sec.android.gallery3d,2021-05-30 12:24:11.964000+00:00,2021-05-30 12:24:11.964000+00:00,1
5/30/2021,Samsung One UI Home,,,https://play.google.com/store/apps/details?id=com.sec.android.app.launcher,2021-05-30 11:11:50.249000+00:00,2021-05-30 20:30:24.498000+00:00,6
5/31/2021,DOP 2: Delete One Part,,,https://play.google.com/store/apps/details?id=com.playstrom.dop2,2021-05-31 12:15:52.173000+00:00,2021-05-31 12:15:52.173000+00:00,1
5/31/2021,Disney+,,,https://play.google.com/store/apps/details?id=com.disney.disneyplus,2021-05-31 10:39:25.415000+00:00,2021-05-31 15:27:42.374000+00:00,3
5/31/2021,Microsoft Teams,,,https://play.google.com/store/apps/details?id=com.microsoft.teams,2021-05-31 08:20:28.311000+00:00,2021-05-31 14:20:23.505000+00:00,4
5/31/2021,Minecraft,,,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe,2021-05-31 09:14:04.134000+00:00,2021-05-31 11:11:51.692000+00:00,3
5/31/2021,Samsung One UI Home,,,https://play.google.com/store/apps/details?id=com.sec.android.app.launcher,2021-05-31 08:20:26.291000+00:00,2021-05-31 15:27:38.020000+00:00,6
6/1/2021,Disney+,,,https://play.google.com/store/apps/details?id=com.disney.disneyplus,2021-06-01 10:01:12.769000+00:00,2021-06-01 11:08:25.652000+00:00,2
6/1/2021,Microsoft Teams,,,https://play.google.com/store/apps/details?id=com.microsoft.teams,2021-06-01 09:00:02.128000+00:00,2021-06-01 15:24:13.905000+00:00,4
6/1/2021,Minecraft,,,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe,2021-06-01 09:14:27.503000+00:00,2021-06-01 15:13:11.923000+00:00,3
6/1/2021,Samsung Gallery,,,https://play.google.com/store/apps/details?id=com.sec.android.gallery3d,2021-06-01 08:45:22.221000+00:00,2021-06-01 08:45:22.221000+00:00,1
6/1/2021,Samsung One UI Home,,,https://play.google.com/store/apps/details?id=com.sec.android.app.launcher,2021-06-01 09:14:20.461000+00:00,2021-06-01 16:02:39.775000+00:00,6
6/2/2021,DOP 2: Delete One Part,,,https://play.google.com/store/apps/details?id=com.playstrom.dop2,2021-06-02 11:05:56.751000+00:00,2021-06-02 11:05:56.751000+00:00,1
6/2/2021,Disney+,,,https://play.google.com/store/apps/details?id=com.disney.disneyplus,2021-06-02 14:03:40.339000+00:00,2021-06-02 14:03:40.339000+00:00,1
6/2/2021,Google Chrome: Fast & Secure,,,https://play.google.com/store/apps/details?id=com.android.chrome,2021-06-02 12:37:40.912000+00:00,2021-06-02 12:37:40.912000+00:00,1
6/2/2021,Microsoft OneDrive,,,https://play.google.com/store/apps/details?id=com.microsoft.skydrive,2021-06-02 13:11:15.722000+00:00,2021-06-02 13:11:15.722000+00:00,1
6/2/2021,Microsoft Teams,,,https://play.google.com/store/apps/details?id=com.microsoft.teams,2021-06-02 10:20:54.189000+00:00,2021-06-02 14:29:27.447000+00:00,3
6/2/2021,Minecraft,,,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe,2021-06-02 10:05:43.501000+00:00,2021-06-02 10:05:43.501000+00:00,1
6/2/2021,Samsung Gallery,,,https://play.google.com/store/apps/details?id=com.sec.android.gallery3d,2021-06-02 13:40:15.414000+00:00,2021-06-02 13:40:15.414000+00:00,1
6/2/2021,Samsung One UI Home,,,https://play.google.com/store/apps/details?id=com.sec.android.app.launcher,2021-06-02 10:18:46.109000+00:00,2021-06-02 15:02:17.386000+00:00,5
6/3/2021,Disney+,,,https://play.google.com/store/apps/details?id=com.disney.disneyplus,2021-06-03 11:01:22.264000+00:00,2021-06-03 14:03:57.418000+00:00,2
6/3/2021,Google Chrome: Fast & Secure,,,https://play.google.com/store/apps/details?id=com.android.chrome,2021-06-03 19:22:45.793000+00:00,2021-06-03 19:22:45.793000+00:00,1
6/3/2021,Microsoft OneDrive,,,https://play.google.com/store/apps/details?id=com.microsoft.skydrive,2021-06-03 19:22:11.738000+00:00,2021-06-03 19:22:11.738000+00:00,1
6/3/2021,Microsoft Teams,,,https://play.google.com/store/apps/details?id=com.microsoft.teams,2021-06-03 10:13:55.903000+00:00,2021-06-03 14:17:53.057000+00:00,3
6/3/2021,Samsung One UI Home,,,https://play.google.com/store/apps/details?id=com.sec.android.app.launcher,2021-06-03 10:13:41.611000+00:00,2021-06-03 19:47:38.272000+00:00,6
6/4/2021,Disney+,,,https://play.google.com/store/apps/details?id=com.disney.disneyplus,2021-06-04 09:06:33.761000+00:00,2021-06-04 09:06:33.761000+00:00,1
6/4/2021,Microsoft Teams,,,https://play.google.com/store/apps/details?id=com.microsoft.teams,2021-06-04 10:29:15.437000+00:00,2021-06-04 14:37:51.118000+00:00,4
6/4/2021,Minecraft,,,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe,2021-06-04 14:00:26.042000+00:00,2021-06-04 14:00:26.042000+00:00,1
6/4/2021,Samsung One UI Home,,,https://play.google.com/store/apps/details?id=com.sec.android.app.launcher,2021-06-04 09:06:29.511000+00:00,2021-06-04 15:03:56.833000+00:00,5
6/5/2021,Disney+,,,https://play.google.com/store/apps/details?id=com.disney.disneyplus,2021-06-05 14:38:12.010000+00:00,2021-06-05 21:45:16.499000+00:00,3
6/5/2021,Minecraft,,,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe,2021-06-05 18:56:27.774000+00:00,2021-06-05 18:56:27.774000+00:00,1
6/5/2021,Samsung One UI Home,,,https://play.google.com/store/apps/details?id=com.sec.android.app.launcher,2021-06-05 09:33:04.077000+00:00,2021-06-05 21:45:08.861000+00:00,6
6/6/2021,Disney+,,,https://play.google.com/store/apps/details?id=com.disney.disneyplus,2021-06-06 09:01:38.980000+00:00,2021-06-06 14:54:33.956000+00:00,2
6/6/2021,Minecraft,,,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe,2021-06-06 15:55:42.098000+00:00,2021-06-06 19:39:06.693000+00:00,3
6/6/2021,Samsung One UI Home,,,https://play.google.com/store/apps/details?id=com.sec.android.app.launcher,2021-06-06 09:01:32.293000+00:00,2021-06-06 19:38:35.518000+00:00,7
6/7/2021,Brawl Stars,,,https://play.google.com/store/apps/details?id=com.supercell.brawlstars,2021-06-07 10:18:57.215000+00:00,2021-06-07 10:59:19.542000+00:00,2
6/7/2021,DOP 2: Delete One Part,,,https://play.google.com/store/apps/details?id=com.playstrom.dop2,2021-06-07 14:54:06.020000+00:00,2021-06-07 14:54:06.020000+00:00,1
6/7/2021,Disney+,,,https://play.google.com/store/apps/details?id=com.disney.disneyplus,2021-06-07 09:16:17.594000+00:00,2021-06-07 12:29:47.184000+00:00,2
6/7/2021,Google Chrome: Fast & Secure,,,https://play.google.com/store/apps/details?id=com.android.chrome,2021-06-07 14:54:01.583000+00:00,2021-06-07 16:15:59.392000+00:00,2
6/7/2021,Microsoft OneDrive,,,https://play.google.com/store/apps/details?id=com.microsoft.skydrive,2021-06-07 16:21:25.157000+00:00,2021-06-07 16:21:25.157000+00:00,1
6/7/2021,Microsoft Teams,,,https://play.google.com/store/apps/details?id=com.microsoft.teams,2021-06-07 08:19:36.150000+00:00,2021-06-07 15:53:11.460000+00:00,6
6/7/2021,Minecraft,,,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe,2021-06-07 14:24:36.627000+00:00,2021-06-07 19:30:42.607000+00:00,2
6/7/2021,Samsung One UI Home,,,https://play.google.com/store/apps/details?id=com.sec.android.app.launcher,2021-06-07 08:19:32.312000+00:00,2021-06-07 19:30:36.646000+00:00,8
6/8/2021,Brawl Stars,,,https://play.google.com/store/apps/details?id=com.supercell.brawlstars,2021-06-08 15:02:24.787000+00:00,2021-06-08 15:02:24.787000+00:00,1
